short_question,short_answer,tags,label,answer_length,question_length
missed my period for 3 months now,can u possibly do a urine analysis and show me your results,['menstruation'],-1.0,59,33
what is erythematous mucosa,hope you are alright you can try any simple pain releiving gel for local application and a hot water bag ensure everything else is ok take care,[''],-1.0,143,27
how long is a cold contagious,as a rule colds are contagious a day before you know you are sick and for about two days after at one week if you are feeling progressively better and unless you have a secondary infection your cold should not be contagious,['coldness'],1.0,223,29
what do my blood test results mean,hi these readings are slightly deranged and indicate some liver related problem at your age this is definitely something that should not be neglected and should be adressed at consult a physician or an endocrinologist to find out the root cause and take appropriate treatment thanks,['blood test reults'],1.0,282,34
what is an acne scar,well there seems that still there is some nerve impingement even post surgery leading to lingering symptoms so it will be better to consult a neurosurgeon and get evaluated and an mri scan can help medication physiotherapy and accupuncture can help regards,['acne' 'scar'],-1.0,256,20
i had facial paralysis 6 years ago,hi yes you are right facial manipulative massage sessions with pt can help you to a great extent take methycobalamin tablets for 3 weeks as a conjunctive therapy thanks,['i had facial paralysis'],1.0,168,34
i have a rash on my face,in my opinion this could be atopic dermatitis use anti histaminic cream a cortico steroid ointment can help avoid scratching thanks,['rash on my face'],1.0,131,24
can low carb diet cause anxiety,probably not but an extra vaccine will not really hurt him he can always get a blood test to see if he has an hep b antibodies present if he does he does not need another one,['anxiety' 'low carb diet'],-1.0,174,31
can you take sudafed with zyrtec,rose did you ever go to the doctor all i can think of for you to do days later since the tylenol has already been adsorbed would be to have lab work drawn to see if there was any damage to the kidneys or liver otherwise i am not really sure i hope you are ok at this point,[''],-1.0,272,32
what is an acne scar,this is a scar due to severe acne these scars can range from deep pits to scars that are angular or wavelike in appearance,['acne' 'scar'],1.0,122,20
what is nutritionval value of radishes,here is one very nice site that you can read <link>,['radish'],1.0,51,38
what causes cataracts,hi yes in can hid for years unless its being looked for the it wont be found but your find it does go deep did find this as well the mayo clinic notes that it is possible for someone who experiences an initial outbreak to go 40 years before they have another does this help you good luck,['cataract'],-1.0,287,21
is ear piercing elective surgery,you should make an appt with your dentist since the wisdom tooth may be impacted if other symptoms persist then see your pcp,['ears' 'piercing' 'surgery'],-1.0,124,32
is it safe to cook with cast iron pans,yes,['cooking' 'iron'],1.0,3,38
how is hyperthyroidism treated,could be a number of causes uti kidney infection or kidney problem best see a doctor you will need a urine test to determine the source,['hyperthyroidism'],-1.0,135,30
what is dementia,a loose in memory,['dementia'],1.0,17,16
what causes lupus,only pediatric dental coverage is included as an essential health benefit some plans may offer limited dental coverage for adults but it is not required and probably not very common it is probably most common in an hmo type plan,['lupus'],-1.0,228,17
is ravioli safe for pregnant women,the source of this bleeding should be investigated i would advise you to see your gynecologist so that you can be properly examined,['pregnancy'],-1.0,131,34
what else causes foot rashes,foot rashes can be due to dermatitis dryness of skin allergic reaction to use of soap or detergent or any skin disease affecting foot like psoriasis or eczema athlete is foot is one of the major cause of foot rashes,['foot' 'skin' 'rash'],1.0,215,28
what is psoriatic arthritis,psoriatic arthritis is a form of inflammatory arthritis that can affect some of the millions of americans who have psoriasis psoriasis is a skin disease that causes a red scaly rash most commonly over the elbows knees ankles feet hands and other areas,['psoriatic arthritis'],1.0,251,27
what is imrt,iron supplements can cause constipation and constipation can contribute to gas so indirectly the answer is yes,[''],-1.0,110,12
what is refractory celiac disease,samples are provided by pharmaceutical reps for this purpose but they are dispensed from your doctor is hand to the patient is hand they cannot legally be dispensed by the office staff a written prescription cannot be given or used for samples you may have to wait for your doctor to return,['celiac disease'],-1.0,290,33
does excedrin lower blood pressure,i recently had similar pain turned out it was my gallbladder i had severe pain for 26 hours i was referred to a clinic for an ultrasound the results showed that i had gallstones,['blood pressure'],-1.0,177,34
is diabetes hereditary,yes there can be an hereditary relationship but not obviously not every family member will end up with diabetes,['diabetes'],1.0,111,22
does losing weight help your penis grow,no but it will look bigger when you lose the excess fat around the pubic area,['penis'],1.0,77,39
what is a dry powder inhaler,yes,['inhaler'],-1.0,3,28
what is a common cold,hi i believe it is either tennis or golfers elbow which caused inflamation to your ulner or radial nerve i recommend focusing on treating your elbow by physical therapy good luck,['cold' 'coldness'],-1.0,178,21
are bedbugs attracted to dirty people,no bedbugs are equal opportunity biters    they will go after you whether you are dirty or clean,['bedbug'],1.0,96,37
what is dyspnea,in latin dys means difficult and pnea refers to breathing the bottom line dyspnea means shortness of breath or difficulty breathing,['dyspnea'],1.0,131,15
how is osteoarthritis treated,dyskinesia is abnormal muscle movement it may appear as a side effect of long term drug treatment in parkinson is and may worsen in response to stress,['osteoarthritis'],-1.0,150,29
my teeth have turned yellow,u should change the solution and use another alternative get teeth bleached from a dentist maintain better oral hygiene,['chlorhexidine glconate does work'],1.0,119,27
what is pneumonia,is a deasize in your lungs,['pneumonia'],1.0,26,17
is mupirocin used for poison ivy,i wear a 3m 8210 respirator n95 mask have used it when i was a painter and also working on the farm in all the dust also have sometimes put a damp kleenex inside it for further relief,['poison ivy'],-1.0,183,32
i am embarrassed but i have pubic lice,hi if the creams have not worked you can use anti allergic tablets and anti bioticsanti fungals if needed taking oral tablets will definitely help,['pubic lice'],1.0,146,38
why cpvt is not evident on ekgs,it depends on the location of the shingles but skin to skin contact can definitely spread this herpes viruses a person with active shingles is usually in pain and may not be particularly interested in sexual activity anyway,['tachycardia'],-1.0,223,31
spots appeared on my areola now flaking,its a kind of skin allergy out of dermatitis it must be hard in consistency do not rub or squeeze it as this may aggravate the lesion local creams and oil application may be enough if its painful you can consult a skin specialist,['dark spot on areola'],1.0,229,39
can you get pregnant while on the pill,i believe you still can if ur not taking back up,['pregnancy' 'birth control pill'],1.0,48,38
how do i get rid of ulcers on my legs,hi such ulcers take time to heal if routine creams and sprays arent working then you should consult a surgeon  dermatologist newer advances like laser treatment can help thanks,['ulcers on leg'],1.0,176,37
what is a zygote in pregnancy,a zygote is an early stage in the development of a fertilized egg,['pregnancy'],1.0,65,29
what is radiation therapy,in radiation therapy also called radiotherapy high energy rays are used to damage cancer cells and stop them from growing and dividing a specialist in radiation therapy is called a radiation oncologist,['radiation surgery'],1.0,201,25
what is epilepsy,it usually heals spontaneously after the sty ruptures,['epilepsy'],-1.0,53,16
i have a tumor on my scalp,hi it seems to be a early cancerous mole as it has everted edges consult a dermatologist and get it diagnosed keep a watch on its size and consistency rapid increase in size may occur due to malignancy thanks,['scalp tumor'],1.0,208,26
can tens unit be used for migraines,maybe you shouldnt push ur toothbrush to the back of your throat brush your tongue not your tonsils,['transcutaneous electric nerve stimulation' 'migraine'],-1.0,99,35
is there a treatment for hyperglycemia,this medicine may be harmful if swallowed if overdose or swallowing is suspected contact your local poison control center or emergency room immediately us residents can call the us national poison hotline at 1 800 222 1222 canada residents can call a provincial poison control center,['is there a treatment for hyperglycemia.'],-1.0,283,38
how can i boost my metabolism,i do not think that cow manure is going to be harmful to your unborn baby otherwise there would be plenty of farmer is wives out there who stay in the house for nine months as long as the barn area is well ventilated you should not have an issue but be sure to discuss this with your ob,['metabolism'],-1.0,286,29
what is lactose intolerance,you may have a urinary tract infection or urethral irritation from a variety of reasons irritation from clothing soaps wearing a pad sex etc i would suggest that you drink plenty of fluids and call your medical provider to get a urine test to see if you have an infection,['lactose intolerance'],-1.0,271,27
what is staphylococcal infections,staph or staphylococcus is a type of bacteria commonly found on the skin there are several different types,['staph infection'],1.0,106,33
is there a cure for psoriatic arthritis,a bone spur will show up on x ray and the pain is more localized one spot plantar fasciitis will not show up on x ray and the pain is more diffuse across the plantar surface of the foot,['psoriatic arthritis'],-1.0,185,39
what is considered a negative ekg test,forgetfulness concentration,['electrocardiogram'],-1.0,27,38
what is shingles,the bump on head appears to be an different issue altogether pus in urine is because of accumulated pus cells in the bladder and the urinary tract a bladder wash will help the infection heal the natural way it has to be repeated several times antibiotics given concomittantly will help to recover fast,['shingles'],-1.0,301,16
my mom is in a depression…what can i do,a diet of the possible options that satisfies your body needs…do a list antihistaminic drugs and if you can leave nevada to another city,['depression'],-1.0,136,39
why do my knees squeak while walking,yes it is possible for you to get mono so if you are having any specific symptoms characteristic of mono ask your medical provider for an ebv panel a very sensitive mono test,['knee' 'walking'],-1.0,174,36
is hpv contagious,yes you are right… you are low on immune system take multi vitamin tablets and immune boosters high protein diet eat plenty of dry fruits,[''],-1.0,137,17
pain in legs – varicose veins,for one smoking increases your risk of oral cancer other oral health consequences include delayed healing following tooth extraction and periodontal treatment increased bone loss within the jaw bad breath and tooth discoloration,[''],-1.0,228,29
can i take prednisolone for asthma,transvaginal us is the master of checking ovulation and its not expensive i recommend you to check with another gynecologist,['prednisolone'],-1.0,124,34
crooked stiff neck and slight neck pain,certainly either under or over active thyroid can cause one to lose hair check with your internist or endocrinologist to be sure your thyroid levels are where they need to be,['stiff neck and slight pain'],-1.0,174,39
what can cause ererctile disfucntion,here is a resource that you will find helpful <link>,[''],1.0,52,36
what is dyspnea,male masturbation    especially several times a day    definitely lowers sperm count and volume so yes i believe this may be one of the underlying problems see if you can get him to switch to sexual intercourse instead,['dyspnea'],-1.0,218,15
what is an ectopic or tubal pregnancy,an ectopic tubal pregnancy is a pregnancy that occurs outside the uterus often in the fallopian tubes,['pregnancy'],1.0,101,37
can you reduce pore size,hi can this doctor confidently say that the present symptoms are only due to adhesions and not due to anything else can he guarantee of 100  results after removing adhesions by surgery for me i think you should avoid going under knife yet again try yoga changes in diet exercises and medicines,['pore'],-1.0,293,24
how is viral hepatitis treated,best for what isopropyl alcohol rubbing alcohol is poisonous so it cannot be ingested as you may know it is used for a variety of things toptically on the skin ethyl alcohol is booze and of course poisonous as well if ingested in toxic quantities ethyl alcohol is also gasoline additive in most states,['hepatitis' 'virus'],-1.0,301,30
i have a tiny mole is this cancer,no it will not,[''],-1.0,14,33
i have not had a period for 4 months,hi its eczema with secondary infection antihistaminic and anti fungal local creams as well as tablets will be helpful it will need agressive treatment for next 1 month or so thanks,['no menstruation'],-1.0,180,36
my children have got measles,thank you all for your answers i will definitely make and appointment with my family doctor and talk to him i appreciate your help 🙂,['children have got measles'],-1.0,132,28
is mupirocin used for poison ivy,mupiricin is an antibiotic used for skin infections it will not help poison ivy sorry,['poison ivy'],1.0,85,32
can depression be inherited,they will be gross tasting but not likely to be harmful since i am a sushi eater raw fish is not something i tend to avoid,['depression'],-1.0,122,27
what are the treatments for pneumonia,loss of appitite,['pneumonia'],1.0,16,37
how can i prevent high blood pressure,what can i do to lose weightiam 46 and had 5 c sections my last baby was 7 yrs ago i have high blood pressure how do i bring it down what foods should i be eating i would love to lose weight but my age its hard iam 56 258 i need some help here,['high blood pressure'],1.0,243,37
do i have hyperparathyroidism,please do ticks can carry disease,['hyperparathyroidism'],-1.0,33,29
what is blood poisoning,hi before reaching to a perfect diagnosis you need to get a few more tests done ct  mri of abdomen with or without a ct guided biopsy along with thyroid  parathyroid blood tests should be done consult a endocrinologist thanks,['poisoning'],-1.0,225,23
is sepsis contagious,contact your doctor as early as possible that there is no evidence of ectopic pregnancy,[''],-1.0,87,20
what are weight bearing exercises,during weight bearing exercise bones and muscles work against the force of gravity and the feet and legs carry a person is weight examples include walking jogging and dancing,['weight' 'exercise'],1.0,174,33
how are food allergies diagnosed,an allergist or primary care provider can do allergy testing they will run either a skin test or draw blood and in either sample they will look for ige antibodies to particular foods if there are no ige antibodies to the foods the child is likely not allergic,['food allergy'],1.0,259,32
how can i cook broccoli,hi this is due to severe indigestion and gastritis get liver function tests and gastro endoscopy done take antacids with probiotics tablets thanks,['cooking'],-1.0,146,23
are electric cigarettes safe,reasonably safe there are no carcinogens cancer causing chemicals in the water mist but there is some nicotine nicotine in the levels that are in electronic cigarettes are not really considered harmful any efforts to stop smoking should be encouraged so eventually you may not be using either one,[''],1.0,296,28
how well do condoms prevent stds,ovaries are not surgically removed and then put back ovarian cysts are on the outside of the ovaries in most cases so only the cyst is remove your ovarian cysts should have nothing to do with your thyroid problem but that would require a thorough investigation by your endocrinologist,['sexually transmitted disease' 'condom'],-1.0,284,32
what is high blood pressure,yes you can still get pregnant pulling out is not a sure way of birth control there is seman present even before he ejaculates so if he does not want to ues condoms then you should look into some kind of brith control take charge of your body and brith control,['high blood pressure'],-1.0,260,27
my mom is in a depression…what can i do,encourage her to do what she likes doing like listening to music cooking or any other hobby like gardening etc…,['depression'],1.0,111,39
should a 9 year old girl wear a girdle,no why in the world would she be so self conscious about her little belly to require a girdle help her self esteem and help her eat more sensibly but do not encourage her to squeeze in her pre puberty fat with a girdle,[''],1.0,218,38
what is electrical cardioversion,this is normal after severe stressful traumatic events no need to worry now just try to calm down for some time and it will resolve on its own if persisted then cortisol hormone thyroid profile will be needed,['cardioversion'],-1.0,208,32
rape victim asks is it sti,hi avoid energy drinks natural fruit juices with l carnitor will help thanks,['sexuallt transmitted infection'],-1.0,76,26
what causes high blood pressure,while the cause of high blood pressure in most people remains unclear a variety of conditions    such as getting little or no exercise poor diet obesity older age and genetics    can lead to hypertension,['high blood pressure'],1.0,203,31
my shoulder pops out and in by itself,if you can move your arm with no pain then just by doing muscle building exercises you should be fine avoid lifing heavy weights or sleeping on that shoulder avoid doing strenous activities that involve lifting of shoulder above 90 degrees,['dislocated shoulder'],1.0,239,37
what causes pneumonia,regular bathing and cleansing to keep your body clean is advisable visit your dermatologist for treatment we recommend herbal mixture of rubia cordifolia tinospora basil curcuma to purify your blood internally this combination will reduce the tendency of pimples over body and prevent infection,['pneumonia'],-1.0,294,21
what are the downsides of mini lifts,no patchy baldness is not caused by a flu shot but it can be caused by nervous hair twisting alopecia or a fungal scalp infection tinea capitus it would be best for her to see a dermatologist,[''],-1.0,191,36
is bell is palsy contagious,no it is not contagious a person exposed to someone else with bells palsy will not cause bells palsy in other person,"['""bells palsy""']",1.0,116,27
what causes pain in big toe joint,lots of things arthritis tendonitis and even gout see your medical provider so you can be properly examined diagnosed and treated,['pain' 'big toe'],1.0,129,33
how should i take emend for injection,hi this is due to long term use of anti depressants its a expected side effect usually reversible at any stage you should try and educe the dose or change the medicine that you have been taking psychotherapy counselling meditation and yoga will help thanks,['injection'],-1.0,256,37
i have a lot of pain in my lower arm,hi this refers to tennis elbow use ice application for a couple of days+anti inflammatory gel+use an elbow support  try resting your forearm and reduce effort over the hand later start massage and hot packs and if it didnt go well see a physiotherapist…regards,['pain in arm'],1.0,260,36
are sodas good to help with dehydration,soda is not as good as plain ol water soda can be part of your fluid intake hopefully a small part,['soda' 'dehydration'],1.0,98,39
can constipation raise blood pressure,you need to take a test and call your gyn sounds like you are pg,['constipation' 'blood pressure'],-1.0,64,37
what are the treatments for a hernia,medication or surgery for treatment what are my options,['hernia'],1.0,55,36
what causes female sexual problems,the water is used for humidification and this is very important,['sexual problem'],-1.0,63,34
what causes bacterial vaginosis,i like products that contain retinol niacinamide peptides and caffeine,['bacterial vaginosis'],-1.0,70,31
is cancer a virus or bacteria,most helpful answer there are medications that can help but you need to be carefully examined by your gynecologist or a urologist first there are many causes of urinary incontinence and a few types can be surgical corrected,['cancer' 'virus' 'bacterium'],-1.0,223,29
do i have cushing is syndrome,the most common symptoms of crohn is disease are abdominal pain often in the lower right area and diarrhea rectal bleeding weight loss and fever may also occur bleeding may be serious and persistent leading to anemia children with crohn is disease may suffer delayed development and stunted growth,"['""do i have cushings syndrome""']",-1.0,297,29
how is lymphedema diagnosed,lymphedema is diagnosed after a careful evaluation of your medical history including past surgeries and treatments an evaluation of current medications and symptoms and a complete physical examination sometimes additional tests may be needed,['lymphedema'],1.0,241,27
does penicillion get rid of thc,no the only way to rid yourself of thc is to not use it in the first place or wait about three weeks or more depending on the type of drug detection test penicillin will not rid the body of thc,['penicillin'],1.0,193,31
can bow movements cause blood in urine,no they are two very different body systems even though they live in the same general neighborhood,['movement'],1.0,98,38
does doxepin help with skin rash,if you are already covered by medicaid you do not need to do anything as a result of the law you will continue to receive medicaid benefits,['skin' 'rash'],-1.0,139,32
what is considered a fever in my baby,doctors usually say a baby has a fever if the temperature rises to 38c 100 4f or above learn what your baby is normal temperature is by taking it a few times when he or she is well,['fever' 'baby'],1.0,180,37
how does one get babes,first stop calling women babes the term is disrespectful and a real turn off for women second find a venue to meet women that share your interests beliefs and morals this can be done through service clubs taking classes or involving yourself in community service,[''],1.0,262,22
i am a dancer my ankle gets weak,hi if wearing ankle support does not cause much discomfort that means the ankle are weak it may be due to weak muscles or ligaments or both hot fomentation with local gel application may help when pain is more you should get ankle muscles and ligaments strengthened from a physiotherapist thanks,['weak ankles'],1.0,295,32
do i have a yeast infection,hi itching is a sign of bacterial vaginosis which could be any type of bacteria this can be treated with metronidazole  flagyl  taken twice daily for one week …you can find also metronidazole as a vaginal gel … regards,['yeast infection'],1.0,218,27
i have a lump at the bottom of my spine,movable lump and painful while sitting on it i believe its something in of above the skinplease describe the mass is it soft hard firm is it indurable or not…its size… since when whether its associated with any other trouble u can feel or notwaiting best regards,['spine protrusion'],1.0,262,39
can antidepressants cause weight gain,hi it does not look like cancer if size does not change then there is no reason to worry any increase in size means you need to see an oncologist good luck,['antidepressant' 'weight gain'],-1.0,155,37
can viagra cause prostate cancer,buythebluepill com is the most reliable and one of the most affordable sources for all men is health medication needs we are supply all medicine like viagra cialis kamagra tadacip levitra etc,['prostate cancer'],1.0,191,32
what are the complications of anemia,e coli is sensitive to ciprofloxacin in your case if taken till 14 days complete the 14 days plan and see your doctor again nothing proven to help the uncontinence sorry,['anemia'],-1.0,169,36
does hydrogen peroxide sting,no it is best to work with your doctor in order to stop sometimes when you stop meds cold turkey it can cause serious problems,['sting' 'hydrogen peroxide'],-1.0,126,28
can castor oil cure cataracts,only if flossing is done by a parent floss like many other stringy items should not be left with small children,['castor oil' 'cataract'],-1.0,111,29
what is chickenpox,it should be a combination of good professional counselling and anti depressant medicines only counselling wont help much,['chickenpox'],-1.0,121,18
what are the symptoms of thrush,hi it may or may not be cardiac related very difficult to judge clinically best option would be to get a ecg done if its normal then a complete blood count will give a clue regarding the symptoms thanks,['thrush'],-1.0,202,31
what causes gerd,hi not sure how can they be so calm with such sever symptoms i recommend both cervical and brain mri you should be hospitalised for now complete rest and try a good neurologist good luck,['heartburn'],-1.0,186,16
can you swim if you have shingles,my dr told me not to go swimming with the shingles because the chlorine in the pool would make me hurt worse,['shingles'],1.0,108,33
is this skin mole dangerous,consider seeing a dermatologist…it would be a benign skin lesion but such moles needs examination and never neglect this…,['is skin mole dangerous'],1.0,121,27
do cataracts cause headaches,hi this may be due to hormonal imbalances in your blood u need to get it checked consult a endocrinologist frequent washing of face with water and aloe vera gel application will help thanks,['cataract' 'headache'],-1.0,189,28
what is atopic dermatitis,yes it appears that would be the best course of action an abscess may require an immediate drainage more than just a needle packing or a wick inserted and an appropriate course of antibiotics,['atopic dermatitis'],-1.0,191,25
are bed bug bites contagious,the actual bites of a bed bug are not contagious to others unless those bites are secondarily infected from scratching a secondary bacterial skin infection from a bite or scratch can be contagious to others,['bedbug'],1.0,206,28
which is worse gonorrhea or trich,do you get to choose i would say that gonorrhea    a bacterial infection that can cause a very serious infection in women    would top my list as being the worst of the two but trichomonas   a parasite    is not that pleasant to have on board either both are in the nasty column,['gonorrhea'],1.0,278,33
does vyvanse have a generic,no vyvanse is not yet available as a generic adderall which is very similar to vyvanse is available as a generic you may want to talk to your physician about whether it would be a good alternative for you if you are looking to save money on your medication,[''],1.0,256,27
what are arthritis symptoms and signs,regular moderate exercise    particularly weight bearing exercises like walking running jogging and dancing    keeps your bones strong studies show that resistance strengthening exercises also boost bone mass and keep muscles strong,['arthritis'],-1.0,232,37
leg falls asleep throughout the day,hi you are having a prolapsed intervertebral disc causing the nerve to be compressed in lower back its not a good sign if the leg is getting numb you need to see an orthopaedic surgeon and start lumbar traction physiotherapy for 15 days get an mri done take analgesics and methycobal tablets thanks,['leg falls asleep'],1.0,298,35
how does age affect fertility,u s department of health and human services guidelines recommend at least 60 minutes of physical activity for kids and teens on most    if not all    days of the week,['fertility'],-1.0,166,29
can you get pregnant from anal sex,no increased heart rate is not a normal feature of heartburn however pain and anxiety can increase heart rate if you are still having this problem i would get your doctor to check it out,[''],-1.0,186,34
will a cavity trigger hives,zillions of things can cause hives urticarial so it may be very difficult to attribute one specific albeit unusual cause as the culprit usually dental issues are not considered among the more common causes of hives,['cavity' 'hives'],1.0,214,27
what is osteoarthritis,the two medications are compatible but many clinicians do not use antihistamines in children who have ear infections since this can thicken the middle ear fluid and make it more difficult to clear in some not all children,['osteoarthritis'],-1.0,221,22
how do i use my epipen,use oil free non comedogenic non pore clogging moisturizers with retin a olive oil avocado and vitamin e based moisturizers are a good start,['epinephrine'],-1.0,140,22
anus too close to vagina,anatomically there is really nothing you can do to change this close proximity other than being very careful not to contaminate the vagina with any germs from the anal area it is what it is,['anus' 'vagina'],1.0,189,24
what is a cataract,a cataract is a cloudy or opaque area in the lens of the eye,['cataract'],1.0,60,18
can black people get head lice,of course but it is much less common there are numerous theories as to why from the lengthconsistence of the hair to the use of various hair products but i do not believe those theories have been ever tested the caucasian race seems to dominate the head lice proliferation at least in my experience,['head lice'],1.0,298,30
are all genital warts a form of hpv,hi why do not you just google genital warts and look at images see if you can match it if not just get along to your local stdgum clinic and get tested its as easy as that your find the staff are really helpful this way your find out what you have good luck,['human papillomavirus' 'wart'],-1.0,257,35
can i get hiv by using infected towel,i would not be worried hiv is transmitted only through fluid transmission usually by having sex or sharing injection drug equipment such as needles in your case i do not see a fluid transmission dr javez ernesto,['hiv transmission'],1.0,211,37
what happens if you swallow a fly,this does not really seem like a bacterial infection now… it is mostly a viral infection and antibiotics may just weaken your immunity to fight the virus oral betadine with water gargling can help avoid hot drinks and drink plenty of water bee honey is a good remedy also,['swallow'],-1.0,271,33
aching pain i have had in my left leg,hi the pain seems to be related to a localised knee pathology or a prolapsed intervertebral disc in the lumbar spine you need to get a mri of knee and a mri of lumbar spine to come to a perfect diagnosis you should see a orthopedist and get the necessary investigations done thanks,['aching pain i have had in my left leg'],1.0,281,37
what is colic,hi so lets take pre cum by itself it is ok but if you bf had an ejectulation then the could have been sperm in his urethra then if that was the case then you could be pregnant you seem to be having the signs hope this helps good luck,['colic'],-1.0,233,13
what is uric acid,yes i think anytime you have a fever for a couple of days you should see a doctor the body is fighting something when there is a fever you need to find out what it is fighting,['uric acid'],-1.0,175,17
will vitamin k cream erase spider veins,aspirin can be taken with lisinoprilhctz there are no significant interactions to be concerned about you should always talk to your pharmacist before taking any over the counter medications to make sure they are safe to take with any current medical conditions and medications,['spider vein' 'vitamin k'],-1.0,276,39
do i require surgery,hi codeine side effects do not last that long if that is what your asking my opinion you have other causes of stress in your life so i recommend seeing a psychiatrist good luck,['do i require surgery ?'],-1.0,176,20
how is chlamydia treated,chlamydia is treated with an antibiotic,['chlamydia'],1.0,39,24
is shingles contagious,most a person touch the infected area to get shingles from someone,['shingles'],1.0,66,22
how is hypothyroidism treated,i have hypothyroidism been treated for 25 years my tsh is 09 my dr has lowered the synthroid dosage i do not understand why the med is lower dosage instead of higher,['hypothyroidism'],1.0,165,29
what is a metered dose inhaler mdi,a metered dose inhaler mdi is a small aerosol canister in a plastic container that releases a mist of medication when pressed down from the top this drug can be breathed into the airways many asthma medications are taken using an mdi,['inhaler'],1.0,233,34
will penicilen cure an uti,sinemet cr is a version of sinemet that works for a longer period of time as it releases the drug more slowly into the body,['penicillin'],-1.0,123,26
does breastfeeding promote weight loss,it is it a myth that breastfeeding burns up lots of calories making milk you will burn some stored body fat but your body protects some fat for the purpose of breastfeeding many women do not lose all the baby weight until they completely stop nursing,['breastfeed' 'weight loss'],1.0,250,38
what is hypothyroidism,this may be due to acidity problems or oesophageal reflux get upper gi endoscopy done to rule out ulcers take antacids daily avoid spicy foods and preferably take a bland diet get your blood checked for any blood related causes,['hypothyroidism'],-1.0,227,22
how do i remove black spots on my face,hi somewhere around the 10 of december either do a hpt or get a test at your doctor is its the only way your find out for sure unless your next period starts up a women is body can skip the odd period for no reason at all do hope this helps good luck,[''],-1.0,250,38
how is hepatitis diagnosed,menstruation generally can be altered due to body stress or any major illness better get yourself checked and get the correct treatment,['hepatitis'],-1.0,135,26
what are causes of hair loss,i would say cancer and stress,['hair loss'],1.0,29,28
can the flu cause complications,complications of flu can include bacterial pneumonia ear infections sinus infections dehydration and worsening of chronic medical conditions such as congestive heart failure asthma or diabetes,[''],1.0,192,31
im 5 days late could i be pregnant,yes you could be pregnant i would definitely recommend taking a pregnancy test as soon as possible so you can get on prenatal vitamins right away if you are,['pregnancy'],1.0,156,34
what is radiation therapy,radiation therapy treats cancer by using high energy to kill tumor cells without hurting healthy cells the goal is to kill or damage cancer cells without hurting healthy cells radiation therapy is led by a radiation oncologist    a doctor who specializes in radiation medicine,['radiation surgery'],1.0,276,25
what to do in case of an overdose,call your doctor or poison control center or go to the emergency room,['drug overdose'],1.0,69,33
spots appeared on my areola now flaking,hi these spots need to be assessed by a dermatologist as soon as you can protective measures can be taken avoid sun exposure get a mammography follow up with a gynecologist,['dark spot on areola'],1.0,172,39
strange thing appeared on my skin,hi this seems to be a venous ulcer which occur spontaneously without any injury get your blood sugar checked its an unhealthy wound it needs surgical debridement and daily dressings apply local antibiotic creams take antibiotics vitamin c tablets thanks,['thing on skin'],1.0,253,33
can warts on hands spread to genitals,the type of wart that usually occurs on the skin or hands verruca vulgaris is not likely to spread to your genital area genital warts are usually a different type called condylomata,[''],1.0,181,37
what is flu,unfortunately it is not possible to accurately determine a skin diagnosis blindly over the internet a desciption is just too vague so this is going to require a hand on medical examination by your primary care clinician or a dermatologist,['flu'],-1.0,238,11
what happens after an ultrasound,the gel will be wiped off your skin and your health care provider will discuss the test results with you,['ultrasound'],1.0,104,32
i have an anxiety problem,hi your symptoms could be from your hormones get back into action if you have not had a period yet then i do not think so you really need to wait till your periods get back on track then would be the time to start for a baby that is if your aiming for that but good luck,['anxiety problems'],-1.0,270,25
does your heart stop when you sneeze,spondylosis disc prolapse spine infections listhesis are the causes that need to be ruled out these symptoms are not related to any abdominal pathology consult a orthopaedic surgeon or a spine specialist and get the necessary investigations done,['heart'],-1.0,245,36
what is swine influenza h1n1,sometimes your body will not bleed when you are using the pill so that could be another cause   taking a pregnancy test will help you be more sure,['flu' 'swine flu'],-1.0,146,28
false positive pregnancy test,its possible but it indicates a wrong reading get usg done to confirm the pregnancy,['pregnancy test'],1.0,83,29
can i exercise when on zithromax,hi seeing as this is an antibiotic please read through this link below <link> just copy link into google to the www to open and read good luck,['exercise'],1.0,142,32
can nuclear stress test cause cancer,no it will not cause cancer i had one myself,['cancer' 'thallium stress test'],1.0,44,36
what is rheumatic heart disease,that means that the doctor who took the pap smear did not go deep enough into the os the opening of your cervix with the swab to get endocervical cells since there were none on the smear he may need to repeat you pap smear and try again,['heart disease'],-1.0,236,31
what is anemia,i am studying health science to later move into physical therapy and what i have learned is that you warm up and cool down before your activity use heat after use ice,['anemia'],-1.0,166,14
can aids cure paralysis or leukemia how,if the injection was given improperly it is very possible to involve nerves in this area since it has been a month you should be examined by your medical provider or the place where you received the injection,['aids' 'paralysis' 'leukemia'],-1.0,208,39
can shingles occur in the scalp,can cause that and or constipation consult your doctor and possibly change to something else before things get worse,['shingles' 'scalp'],-1.0,116,31
can prostatitis cause weight loss,i had the same problem with my thumb and 2 fingers next to it it was caused by a blood clot they dissolved the clot and the two fingers cleared up rapidly but the thumb has not cleared up yet i will have to go back to be checked for another clot or possibly gangerine,['prostatitis' 'weight loss'],-1.0,267,33
what causes warts,warts are caused by the human papilloma virus hpv which enters the skin and causes cells to multiply rapidly usually warts spread through direct contact each person responds differently and not everyone exposed to hpv will develop a wart,['wart'],1.0,237,17
how do you get warts,ok what is vaginosis and can a long term of antibiotics cause this,['wart'],-1.0,66,20
